property,classifier,accuracy,precision,recall,f1
17,AdaBoost,0.7860087293889427,0.8002036141511835,0.7623666343355965,0.780827020985968
17,Decision Tree,0.7233268671193016,0.7181430601610611,0.7352085354025218,0.726575605080278
17,Perceptron,0.5132153249272551,0.6798679867986799,0.04995150339476237,0.09306528122882313
17,SGD,0.5683802133850631,0.5413489736070382,0.895247332686712,0.6747076023391813
17,Bagging,0.8172890397672163,0.8490264070418778,0.771823472356935,0.8085863076336848
17,Extra Trees,0.7615179437439379,0.7608222490931076,0.7628516003879728,0.7618355733139606
17,CatBoost,0.8457807953443259,0.857035553329995,0.8300193986420951,0.8433111603843311
17,LightGBM,0.8395974781765276,0.8519728575018849,0.8220174587778856,0.836727138097001
17,XGBoost,0.843113482056256,0.8509424603174603,0.8319592628516004,0.8413437959784208
18,SVM,0.7626091173617847,0.7517433751743375,0.7841901066925315,0.7676240208877284
18,Random Forest,0.8092870999030067,0.7906128958760538,0.8414161008729389,0.8152237754023258
18,Logistic Regression,0.7084141610087293,0.7101980924431401,0.7041707080504365,0.7071715572872276
18,Naive Bayes,0.6275460717749758,0.6309109009457442,0.614694471387003,0.6226971260132645
18,K-NN,0.6580989330746848,0.6584062196307094,0.6571290009699321,0.6577669902912622
18,Gradient Boosting,0.8181377303588748,0.8129770992366412,0.8263821532492726,0.8196248196248196
18,AdaBoost,0.7983753637245393,0.7968636911942099,0.800921435499515,0.7988874108114645
18,Decision Tree,0.7461202715809894,0.7392739273927392,0.7604267701260912,0.7497011714080803
18,Perceptron,0.5181862269641125,0.5092821782178217,0.9978176527643065,0.6743690593248115
18,SGD,0.7086566440349176,0.6846962867568148,0.7735208535402521,0.726403279061824
18,Bagging,0.835717749757517,0.8572903225806452,0.8055286129970902,0.8306038254781848
18,Extra Trees,0.7804316197866149,0.7693920335429769,0.800921435499515,0.7848402043483427
18,CatBoost,0.8608147429679922,0.8683168316831683,0.8506304558680893,0.8593826555609995
18,LightGBM,0.8511154219204655,0.8638190954773869,0.8336566440349176,0.8484698914116485
18,XGBoost,0.8609359844810863,0.8703657626275193,0.8482056256062076,0.8591428220557534
19,SVM,0.8032250242483027,0.7908816003721796,0.8244422890397672,0.8073133087973406
19,Random Forest,0.815470417070805,0.7966256269949841,0.8472356935014549,0.8211515863689777
19,Logistic Regression,0.7547284190106692,0.7452720056035489,0.7740058195926285,0.7593671940049959
19,Naive Bayes,0.6378516003879728,0.6390995840469782,0.6333656644034917,0.6362197052734138
19,K-NN,0.6896217264791464,0.7229190421892816,0.6149369544131911,0.6645702306079665
19,Gradient Boosting,0.8183802133850631,0.8160808858931151,0.8220174587778856,0.8190384150761053
19,AdaBoost,0.8014064015518914,0.7980815347721822,0.8069835111542192,0.8025078369905956
19,Decision Tree,0.7416343355965083,0.7373184091450345,0.7507274490785645,0.7439625135167608
19,Perceptron,0.7213870029097963,0.7930038510911425,0.5991755577109602,0.682596685082873
19,SGD,0.7497575169738119,0.725382932166302,0.803831231813773,0.7625948930296756
19,Bagging,0.838748787584869,0.863045738045738,0.805286129970902,0.8331660812844958
19,Extra Trees,0.8005577109602328,0.7883228657827401,0.8217749757516973,0.8047014127982904
19,CatBoost,0.8669980601357905,0.8758380928731065,0.8552376333656644,0.8654152864679181
19,LightGBM,0.8543889427740058,0.8643729743206183,0.8406886517943744,0.8523663183773816
19,XGBoost,0.8639670223084384,0.8720872583044125,0.853055286129971,0.8624662907575387
20,SVM,0.6771338506304558,0.6890038809831824,0.6457322987390882,0.6666666666666666
20,Random Forest,0.7890397672162949,0.7802068641278797,0.8048011639185257,0.7923132012413464
20,Logistic Regression,0.6445198836081474,0.6504290762241293,0.6248787584869059,0.6373979718031165
20,Naive Bayes,0.611905916585839,0.6109108387406873,0.61639185257032,0.6136391068195534
20,K-NN,0.5623181377303589,0.5814838300570704,0.44471387002909796,0.5039846111569113
20,Gradient Boosting,0.8134093113482056,0.8240160441213337,0.7970417070805044,0.810304449648712
20,AdaBoost,0.7925557710960233,0.7991569551202579,0.7815227934044617,0.7902415103592006
20,Decision Tree,0.721023278370514,0.7162514827995256,0.7320562560620757,0.724067634008874
20,Perceptron,0.582807953443259,0.6688086999505685,0.3280795344325897,0.44021473889702295
